Category,Factors,Score G1,Score G2,Score G3,Score G4,Score G5,Score G6,Score G7,Score G8,Score G9,Err Low G1,Err Low G2,Err Low G3,Err Low G4,Err Low G5,Err Low G6,Err Low G7,Err Low G8,Err Low G9,Err High G1,Err High G2,Err High G3,Err High G4,Err High G5,Err High G6,Err High G7,Err High G8,Err High G9
Often Sew Or Knit,1,-0.10704909733789898,-0.3087690238640989,0.04631356764896401,-0.23092330487229368,0.039004595867575334,0.08039338498339837,0.1546881883343388,0.16122026513754437,0.09792932575497781,-0.1486359506139983,-0.3431403224016961,0.01711225341525005,-0.3014270421464513,0.01504663764584789,0.034597068651345965,0.12251194110698646,0.13440871252024578,0.04980220061141576,-0.06546224406179965,-0.27439772532650164,0.07551488188267796,-0.16041956759813608,0.06296255408930278,0.1261897013154508,0.18686443556169116,0.18803181775484296,0.14605645089853986
Often Do Hobby,0,0.014753776675487527,0.020870224044726715,-0.005541174540429505,-0.0015283012530330645,0.00976849606144279,-0.010333247098370938,-0.02975393411410892,-0.010129278476222867,0.016223366461860008,0.010328285289194057,0.017277411539160875,-0.011150926786935807,-0.006345455224100896,0.0029862329288977228,-0.014556322672526458,-0.03462686813087537,-0.016327387775277456,0.004974885435410432,0.019179268061780996,0.024463036550292555,6.857770607679534e-05,0.003288852718034767,0.01655075919398786,-0.006110171524215418,-0.024881000097342464,-0.003931169177168277,0.027471847488309584
Often Do Hobby,1,-0.03995618113499977,-0.05652074520313102,0.015006610070620057,0.0041389457789809195,-0.0264550431142162,0.027984501992712775,0.08057961070519593,0.027432114126767576,-0.043936124507465396,-0.05560359442965361,-0.06858173044900727,-0.000345077043753899,-0.009078020939131298,-0.045354800120533056,0.017715106254459507,0.06950485767930564,0.013097475224131532,-0.07002260947443595,-0.024308767840345923,-0.04445975995725478,0.030358297184994013,0.01735591249709314,-0.00755528610789934,0.03825389773096605,0.09165436373108621,0.04176675302940362,-0.01784963954049485
Often Play Sport/Exercise,0,0.043717718625028115,0.010230049926691511,-0.019001685622539777,0.01945988130599805,-0.008584712011049517,-0.0006213015960567984,-0.001263229010149566,-0.024221030282148136,-0.0298692005039241,0.0380608216463366,0.0026368565739974406,-0.023805561609616114,0.01210278875788779,-0.013499999836198661,-0.009446518459530442,-0.006681458059528109,-0.03232350884427651,-0.03883456012401343,0.049374615603719633,0.017823243279385583,-0.014197809635463441,0.026816973854108313,-0.0036694241859003725,0.008203915267416845,0.004155000039228978,-0.016118551720019757,-0.02090384088383477
Often Play Sport/Exercise,1,-0.06517004693459127,-0.01524994567040423,0.028325831786389765,-0.0290088645505722,0.012797238791864942,0.0009261749114323099,0.0018830967504661622,0.03610631409727948,0.04452604710313149,-0.07753972956867908,-0.0286863643571205,0.021324512372307945,-0.04060197362241433,0.005670347961319865,-0.011149639849841882,-0.005589870242877837,0.026008681259623925,0.03508752107203453,-0.05280036430050347,-0.0018135269836879603,0.035327151200471585,-0.017415755478730078,0.019924129622410018,0.013001989672706502,0.00935606374381016,0.04620394693493503,0.05396457313422845
Often Walk For 20 Mins,0,-0.008171176204416115,0.0046861235740975685,-0.03395914192241328,-0.036310388137854074,0.02982001320294932,-0.018470474252745724,0.03885340336510833,0.026607558489762914,-0.006568580467749802,-0.02147287629214393,-0.0021467688931405956,-0.04787807440041534,-0.04966179736871836,0.02419398803474262,-0.02816741923576319,0.022620339832457845,0.01861034439439927,-0.019611362945238534,0.005130523883311698,0.011519016041335733,-0.020040209444411226,-0.022958978906989787,0.03544603837115602,-0.00877352926972826,0.05508646689775881,0.03460477258512656,0.006474202009738932
Often Walk For 20 Mins,1,0.007011340094290882,-0.004020964091328116,0.029138900859786848,0.031156405616685885,-0.025587289877450643,0.01584873137588854,-0.033338459237510235,-0.022830818597405957,0.005636220593458738,-0.007181327336863731,-0.010561592221584742,0.01757211345577956,0.020163700784516028,-0.03065482017896478,0.008220519484077161,-0.046544244712088435,-0.028980077431715844,-0.0024729195957239446,0.021204007525445497,0.0025196640389285093,0.040705688263794136,0.04214911044885574,-0.020519759575936505,0.023476943267699918,-0.020132673762932034,-0.01668155976309607,0.01374536078264142
Self Ongoing Health Problems,0,0.01326819712139633,-0.046178748865141686,-0.06936704869315384,0.00797372185917707,-0.019528252298172198,0.008595184391447363,0.0021984667983217555,0.046800168331058656,0.1212395185194861,0.002165321935460764,-0.057056185622048124,-0.09209887161571212,-0.007246369383961613,-0.03804674490551843,-0.0009094027671077073,-0.01355232234792211,0.030730669408014163,0.10247579124983601,0.024371072307331897,-0.03530131210823525,-0.04663522577059556,0.023193813102315754,-0.0010097596908259648,0.018099771550002433,0.01794925594456562,0.06286966725410315,0.1400032457891362
Self Ongoing Health Problems,1,-0.005428631035909222,0.01889385475623563,0.028381257073564762,-0.0032624171588943817,0.007989908164084214,-0.0035166861269742143,-0.0008994941048576671,-0.019148106103885187,-0.04960467552537452,-0.009262032487825388,0.01506981730725311,0.020289059411934585,-0.00950808713114002,0.0005962339938710018,-0.007695632434949865,-0.007604819516367156,-0.02647252454541198,-0.06029361411365798,-0.0015952295839930576,0.02271789220521815,0.036473454735194935,0.002983252813351257,0.015383582334297426,0.0006622601810014361,0.005805831306651821,-0.011823687662358393,-0.038915736937091064
Ongoing Phy/Emot Problems In Sp/Chld,0,0.005839873535627313,0.01518025580924267,0.016239397836741318,-0.004302576460064602,-0.01025462994546867,0.02115781626138396,-0.04038570119293068,-0.004077333479381059,-0.011095076197889207,-0.0030570517500227634,0.003803929796957428,0.005270176755836031,-0.014979433731108957,-0.01748472679474046,0.01667884203664217,-0.052606144658591925,-0.012795913931235043,-0.024894870430521368,0.014736798821277389,0.02655658182152791,0.027208618917646605,0.006374280810979753,-0.0030245330961968814,0.025636790486125747,-0.028165257727269435,0.004641246972472926,0.002704718034742955
Ongoing Phy/Emot Problems In Sp/Chld,1,-0.007415954137810955,-0.019277143622167352,-0.020622129717061337,0.0054637672387261044,0.013022176749526057,-0.026867943987728782,0.051285101645260095,0.005177735083333965,0.01408944487189582,-0.018202935051876836,-0.034063711311668916,-0.03454927793823155,-0.007998779329070142,0.003871451833392655,-0.03306167940207435,0.03722794202824722,-0.006252167608437549,-0.0039804197524666,0.0033710267762549267,-0.004490575932665787,-0.006694981495891119,0.01892631380652235,0.02217290166565946,-0.020674208573383215,0.06534226126227298,0.016607637775105478,0.03215930949625824
